# Elasticity study, palladium, Bondar Landing (Scorpii Sector IH-V b2-2) -> Metz Enterprise (Ega),
# 2026-09-04, 6 h board watch (docs/benches/knobs/board_watch.sh).
# FINAL VERDICT: ZERO price elasticity at both endpoints through the COMPLETE supply lifecycle.
# Bondar: 76,977 t at capture start, stripped to 12 t in ~90 min (fleet-wide drain ~570 t/min at
# peak; individual 1,008 t loads moved at identical prices), buy price 48,295 unmoved
# through full stock, exhaustion, and the measured RESTOCK TRICKLE (~50 t/h: 12->35->59->90->143),
# which lurking traders sniped as it dripped (143->15 in 20 min). Metz: sell 302,136 constant,
# demand pinned at the 999,999 display cap in every reading but ONE - 998,831 at 21:09:04Z,
# re-pinned within 5 min: true demand sits just above 1M and regenerates in minutes (capped =
# censored; that single blink is the only uncensored point). IMPLICATION for the finder: FDev's
# economy adjusts QUANTITY, never price (within this demand-spike state - generalization needs
# more commodities/states, see the ledger candidate): supply staleness is the real risk, price
# staleness is minor - prefer deep wells over marginal price edges, surface depth and age.
#
# section=boards (EDDN via sizing DB, one row per observed_at change)
captured_at,station_id,station,sell_price,demand,buy_price,supply,observed_at
2026-09-04T16:44:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:43:52Z
2026-09-04T16:44:02Z,4285245187,Bondar Landing,47280,1,48295,48036,2026-09-04T16:40:43Z
2026-09-04T16:49:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:48:58Z
2026-09-04T16:49:02Z,4285245187,Bondar Landing,47280,1,48295,34226,2026-09-04T16:46:33Z
2026-09-04T16:54:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:54:01Z
2026-09-04T16:54:02Z,4285245187,Bondar Landing,47280,1,48295,34226,2026-09-04T16:53:31Z
2026-09-04T16:59:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T16:58:58Z
2026-09-04T16:59:02Z,4285245187,Bondar Landing,47280,1,48295,34226,2026-09-04T16:57:01Z
2026-09-04T17:04:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:04:02Z
2026-09-04T17:04:02Z,4285245187,Bondar Landing,47280,1,48295,29626,2026-09-04T17:02:15Z
2026-09-04T17:09:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:09:01Z
2026-09-04T17:09:02Z,4285245187,Bondar Landing,47280,1,48295,25031,2026-09-04T17:06:09Z
2026-09-04T17:14:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:13:59Z
2026-09-04T17:14:02Z,4285245187,Bondar Landing,47280,1,48295,25031,2026-09-04T17:10:52Z
2026-09-04T17:19:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:18:58Z
2026-09-04T17:19:02Z,4285245187,Bondar Landing,47280,1,48295,18080,2026-09-04T17:17:31Z
2026-09-04T17:24:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:23:55Z
2026-09-04T17:24:02Z,4285245187,Bondar Landing,47280,1,48295,10149,2026-09-04T17:21:44Z
2026-09-04T17:29:02Z,3230679808,Metz Enterprise,302136,999987,0,0,2026-09-04T17:29:00Z
2026-09-04T17:29:02Z,4285245187,Bondar Landing,47280,1,48295,5983,2026-09-04T17:27:50Z
2026-09-04T17:34:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:34:00Z
2026-09-04T17:34:02Z,4285245187,Bondar Landing,47280,1,48295,2609,2026-09-04T17:32:46Z
2026-09-04T17:39:02Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:39:02Z
2026-09-04T17:39:02Z,4285245187,Bondar Landing,47280,1,48295,12,2026-09-04T17:36:22Z
2026-09-04T17:44:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:44:02Z
2026-09-04T17:44:03Z,4285245187,Bondar Landing,47280,1,48295,9,2026-09-04T17:40:56Z
2026-09-04T17:49:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:48:58Z
2026-09-04T17:49:03Z,4285245187,Bondar Landing,47280,1,48295,9,2026-09-04T17:46:15Z
2026-09-04T17:54:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:54:02Z
2026-09-04T17:59:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T17:59:01Z
2026-09-04T18:04:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:04:02Z
2026-09-04T18:04:03Z,4285245187,Bondar Landing,47280,1,48295,35,2026-09-04T18:00:55Z
2026-09-04T18:09:03Z,3230679808,Metz Enterprise,302136,998767,0,0,2026-09-04T18:08:57Z
2026-09-04T18:14:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:14:02Z
2026-09-04T18:19:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:18:59Z
2026-09-04T18:24:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:23:59Z
2026-09-04T18:24:03Z,4285245187,Bondar Landing,47280,1,48295,59,2026-09-04T18:20:32Z
2026-09-04T18:29:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:29:00Z
2026-09-04T18:34:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:34:02Z
2026-09-04T18:39:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:38:47Z
2026-09-04T18:44:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:43:58Z
2026-09-04T18:49:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:48:51Z
2026-09-04T18:49:03Z,4285245187,Bondar Landing,47280,1,48295,59,2026-09-04T18:45:09Z
2026-09-04T18:54:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:53:53Z
2026-09-04T18:59:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T18:58:54Z
2026-09-04T19:04:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:04:01Z
2026-09-04T19:09:03Z,3230679808,Metz Enterprise,302136,998931,0,0,2026-09-04T19:08:47Z
2026-09-04T19:14:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:13:56Z
2026-09-04T19:19:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:19:02Z
2026-09-04T19:24:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:24:01Z
2026-09-04T19:29:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:28:45Z
2026-09-04T19:34:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:33:59Z
2026-09-04T19:39:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:38:57Z
2026-09-04T19:44:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:43:51Z
2026-09-04T19:49:03Z,3230679808,Metz Enterprise,302136,994799,0,0,2026-09-04T19:49:03Z
2026-09-04T19:49:03Z,4285245187,Bondar Landing,47280,1,48295,90,2026-09-04T19:45:55Z
2026-09-04T19:54:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:54:02Z
2026-09-04T19:59:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T19:59:02Z
2026-09-04T20:04:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:04:01Z
2026-09-04T20:09:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:09:00Z
2026-09-04T20:09:03Z,4285245187,Bondar Landing,47280,1,48295,143,2026-09-04T20:05:47Z
2026-09-04T20:14:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:14:01Z
2026-09-04T20:19:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:19:01Z
2026-09-04T20:24:03Z,3230679808,Metz Enterprise,302136,999998,0,0,2026-09-04T20:24:01Z
2026-09-04T20:24:03Z,4285245187,Bondar Landing,47280,1,48295,47,2026-09-04T20:21:10Z
2026-09-04T20:29:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:29:00Z
2026-09-04T20:29:03Z,4285245187,Bondar Landing,47280,1,48295,15,2026-09-04T20:28:00Z
2026-09-04T20:34:03Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:33:59Z
2026-09-04T20:39:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:38:59Z
2026-09-04T20:44:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:43:59Z
2026-09-04T20:49:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:49:01Z
2026-09-04T20:54:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:54:01Z
2026-09-04T20:59:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T20:58:36Z
2026-09-04T21:04:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:04:03Z
2026-09-04T21:09:04Z,3230679808,Metz Enterprise,302136,998831,0,0,2026-09-04T21:09:02Z
2026-09-04T21:14:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:13:55Z
2026-09-04T21:19:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:19:02Z
2026-09-04T21:24:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:24:01Z
2026-09-04T21:29:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:29:02Z
2026-09-04T21:34:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:33:54Z
2026-09-04T21:39:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:39:02Z
2026-09-04T21:44:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:44:01Z
2026-09-04T21:49:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:49:03Z
2026-09-04T21:54:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:53:59Z
2026-09-04T21:59:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T21:59:01Z
2026-09-04T22:04:04Z,3230679808,Metz Enterprise,302136,999999,0,0,2026-09-04T22:03:59Z
