# Pin: our slot table against the vendored Coriolis sizes (hardpoints, internal, military, core) and against the commander's own Loadouts (every fitted slot named in the table). Coriolis folds the Type-11's limpet/hangar slots and the Panther's cargo slots away; ours keeps them, so those two internal rows DIFFER by design.
check,ship,ours,reference,verdict
core,Python,7/6/5/4/7/6/5,7/6/5/4/7/6/5,agree
hardpoints,Python Mk II,2/2/3/3/3/3,2/2/3/3/3/3,agree
internal,Python Mk II,1/1/2/3/4/6,1/1/2/3/4/6,agree
military,Python Mk II,,,agree
core,Python Mk II,6/6/5/4/6/5/4,6/6/5/4/6/5/4,agree
hardpoints,Sidewinder,1/1,1/1,agree
internal,Sidewinder,1/1/1/1/2/2,1/1/1/1/2/2,agree
military,Sidewinder,,,agree
core,Sidewinder,2/2/2/1/1/1/1,2/2/2/1/1/1/1,agree
hardpoints,Kestrel Mk II,1/1/3/3/3,1/1/3/3/3,agree
internal,Kestrel Mk II,1/2/2/2/3/4/5,1/2/2/2/3/4/5,agree
military,Kestrel Mk II,4,4,agree
core,Kestrel Mk II,5/5/4/1/5/2/4,5/5/4/1/5/2/4,agree
hardpoints,Type-6 Transporter,1/1,1/1,agree
internal,Type-6 Transporter,1/2/2/3/4/4/5/5,1/2/2/3/4/4/5/5,agree
military,Type-6 Transporter,,,agree
core,Type-6 Transporter,3/4/4/2/3/2/4,3/4/4/2/3/2/4,agree
hardpoints,Type-7 Transporter,1/1/1/1,1/1/1/1,agree
internal,Type-7 Transporter,1/2/3/3/5/5/5/6/6/6,1/2/3/3/5/5/5/6/6/6,agree
military,Type-7 Transporter,,,agree
core,Type-7 Transporter,5/5/5/4/4/3/5,5/5/5/4/4/3/5,agree
hardpoints,Type-8 Transporter,1/1/1/1/1/2,1/1/1/1/1/2,agree
internal,Type-8 Transporter,1/2/4/5/5/6/6/6/7,1/2/4/5/5/6/6/6/7,agree
military,Type-8 Transporter,,,agree
core,Type-8 Transporter,5/5/5/3/4/3/5,5/5/5/3/4/3/5,agree
hardpoints,Type-9 Heavy,1/1/2/2/2,1/1/2/2/2,agree
internal,Type-9 Heavy,1/2/3/3/4/4/5/6/7/8/8,1/2/3/3/4/4/5/6/7/8/8,agree
military,Type-9 Heavy,,,agree
core,Type-9 Heavy,6/7/6/5/6/4/6,6/7/6/5/6/4/6,agree
hardpoints,Type-10 Defender,1/1/2/2/2/3/3/3/3,1/1/2/2/2/3/3/3/3,agree
internal,Type-10 Defender,1/2/3/3/4/4/5/6/7/8,1/2/3/3/4/4/5/6/7/8,agree
military,Type-10 Defender,5/5,5/5,agree
core,Type-10 Defender,8/7/7/5/7/4/6,8/7/7/5/7/4/6,agree
hardpoints,Alliance Chieftain,1/1/1/2/3/3,1/1/1/2/3/3,agree
internal,Alliance Chieftain,1/2/2/4/5/6,1/2/2/4/5/6,agree
military,Alliance Chieftain,4/4/4,4/4/4,agree
core,Alliance Chieftain,6/6/5/5/6/4/4,6/6/5/5/6/4/4,agree
hardpoints,Alliance Crusader,1/1/1/2/2/3,1/1/1/2/2/3,agree
internal,Alliance Crusader,1/2/2/3/3/5/6,1/2/2/3/3/5/6,agree
military,Alliance Crusader,4/4/4,4/4/4,agree
core,Alliance Crusader,6/6/5/5/6/4/4,6/6/5/5/6/4/4,agree
hardpoints,Alliance Challenger,1/1/1/2/2/2/3,1/1/1/2/2/2/3,agree
internal,Alliance Challenger,1/2/2/3/3/6/6,1/2/2/3/3/6/6,agree
military,Alliance Challenger,4/4/4,4/4/4,agree
core,Alliance Challenger,6/6/5/5/6/4/4,6/6/5/5/6/4/4,agree
coriolis,Viper Mk III,,,no Coriolis data
hardpoints,Viper Mk IV,1/1/2/2,1/1/2/2,agree
internal,Viper Mk IV,1/1/1/2/2/3/4/4,1/1/1/2/2/3/4/4,agree
military,Viper Mk IV,3,3,agree
core,Viper Mk IV,4/4/4/2/3/3/4,4/4/4/2/3/3/4,agree
hardpoints,Vulture,3/3,3/3,agree
internal,Vulture,1/1/1/1/2/4/5,1/1/1/1/2/4/5,agree
military,Vulture,5,5,agree
core,Vulture,4/5/4/3/5/4/3,4/5/4/3/5/4/3,agree
journal,Asp Explorer,19 fitted slots named,0 not in table,agree
limits,Asp Explorer,6 pools counted,within every pool,agree
modules,Asp Explorer,22 fitted,every module known and on its hull,agree
journal,Anaconda,38 fitted slots named,0 not in table,agree
limits,Anaconda,7 pools counted,within every pool,agree
modules,Anaconda,46 fitted,every module known and on its hull,agree
journal,Python,28 fitted slots named,0 not in table,agree
limits,Python,3 pools counted,within every pool,agree
modules,Python,31 fitted,every module known and on its hull,agree
journal,Python Mk II,27 fitted slots named,0 not in table,agree
limits,Python Mk II,4 pools counted,within every pool,agree
modules,Python Mk II,30 fitted,every module known and on its hull,agree
journal,Type-11 Prospector,33 fitted slots named,0 not in table,agree
limits,Type-11 Prospector,6 pools counted,within every pool,agree
modules,Type-11 Prospector,42 fitted,every module known and on its hull,agree
journal,Panther Clipper Mk II,37 fitted slots named,0 not in table,agree
limits,Panther Clipper Mk II,5 pools counted,within every pool,agree
modules,Panther Clipper Mk II,45 fitted,every module known and on its hull,agree
journal,Kestrel Mk II,26 fitted slots named,0 not in table,agree
limits,Kestrel Mk II,3 pools counted,within every pool,agree
modules,Kestrel Mk II,34 fitted,every module known and on its hull,agree
journal,Mandalay,23 fitted slots named,0 not in table,agree
limits,Mandalay,5 pools counted,within every pool,agree
modules,Mandalay,30 fitted,every module known and on its hull,agree
journal,Python Mk II,27 fitted slots named,0 not in table,agree
limits,Python Mk II,5 pools counted,within every pool,agree
modules,Python Mk II,30 fitted,every module known and on its hull,agree
journal,Caspian Explorer,16 fitted slots named,0 not in table,agree
limits,Caspian Explorer,6 pools counted,within every pool,agree
modules,Caspian Explorer,19 fitted,every module known and on its hull,agree
journal,Krait Mk II,17 fitted slots named,0 not in table,agree
limits,Krait Mk II,3 pools counted,within every pool,agree
modules,Krait Mk II,20 fitted,every module known and on its hull,agree
journal,Type-10 Defender,38 fitted slots named,0 not in table,agree
limits,Type-10 Defender,3 pools counted,within every pool,agree
modules,Type-10 Defender,41 fitted,every module known and on its hull,agree
